,count,mean,std,min,25%,50%,75%,max
B01003_001E,737.0,4454.249660786974,2107.3628359557383,0.0,3313.0,4257.0,5436.0,40481.0
B01003_001M,737.0,657.944369063772,321.90356610075844,4.0,448.0,604.0,793.0,2852.0
B08201_002E,737.0,85.56309362279512,96.70500383384228,0.0,21.0,55.0,119.0,963.0
B08201_002M,737.0,61.028493894165535,48.03195270310305,3.0,26.0,49.0,84.0,429.0
B19013_001E,729.0,110899.81344307271,43742.453935636746,24125.0,78516.0,104457.0,135000.0,250001.0
B19013_001M,724.0,23286.693370165747,13613.087450446745,2393.0,14090.5,20266.0,29034.5,104735.0
B17001_002E,737.0,448.5780189959294,383.9255754769529,0.0,174.0,338.0,603.0,3370.0
B17001_002M,737.0,249.51831750339213,196.6091562714566,7.0,113.0,201.0,342.0,1793.0
B03002_001E,737.0,4454.249660786974,2107.3628359557383,0.0,3313.0,4257.0,5436.0,40481.0
B03002_003E,737.0,1923.1289009497964,1305.0543512515735,0.0,998.0,1817.0,2599.0,18624.0
B03002_012E,737.0,1529.4721845318861,1278.6712732787894,0.0,611.0,1185.0,2071.0,13887.0
B03002_004E,737.0,197.69877883310718,275.0790032982742,0.0,36.0,100.0,238.0,3347.0
poverty_rate,735.0,0.10022149938996694,0.07527670924987791,0.0,0.04807342148019497,0.07974683544303797,0.13218445774721438,0.42750790991997023
no_vehicle_hh_rate,735.0,0.020776768596613128,0.02532042675354704,0.0,0.005396705362982342,0.012904796688580472,0.026471106412966877,0.24673267326732673
pct_nh_white,735.0,0.44907019722137503,0.2290360170921892,0.004335260115606936,0.25000203290681905,0.47825024437927666,0.6351126061421933,0.8858006042296073
pct_hispanic,735.0,0.3338318252455998,0.22148032489906738,0.0,0.15863053729162516,0.27211225256827865,0.4773256629417515,0.9599587203302373
pct_black,735.0,0.043474939765502756,0.05367778332949356,0.0,0.008808964510189829,0.02437673130193906,0.057755785495511525,0.4406779661016949
rel_moe_pop,735.0,0.1508935614735007,0.05021137303099195,0.021018354055654234,0.11983750311551775,0.14193396780636822,0.17043126075857712,0.4337198370416797
rel_moe_poverty_count,727.0,0.6395439374067357,0.24639637922912772,0.16233766233766234,0.4846856892742507,0.5877192982456141,0.7333237928480032,2.423076923076923
rel_moe_no_vehicle,683.0,0.9570684794786503,0.39511933737441757,0.29930394431554525,0.663610197368421,0.8780487804878049,1.1972757598220904,3.0
disadvantage_z,737.0,0.14518525783196728,0.8120078367706921,-1.6007816892368416,-0.4122079268151675,0.006764445602993607,0.5936147779837492,4.320491586180137
