path,bytes,modified_utc,size
data/interim/mobility_database/feeds_v2.csv,2378950,2026-03-29T20:55:09.900208950+00:00,2.3 MB
data/raw/census/acs5_2023_sd_county.json,139135,2026-03-29T19:40:48.985675097+00:00,135.9 KB
data/raw/census/tl_2023_06_tract.zip,32523329,2026-03-29T19:40:46.791359186+00:00,31.0 MB
data/raw/census/tl_2023_06_tract/tl_2023_06_tract.cpg,5,2026-03-29T19:40:46.908233166+00:00,5 B
data/raw/census/tl_2023_06_tract/tl_2023_06_tract.dbf,1159833,2026-03-29T19:40:46.917984009+00:00,1.1 MB
data/raw/census/tl_2023_06_tract/tl_2023_06_tract.prj,165,2026-03-29T19:40:46.917984009+00:00,165 B
data/raw/census/tl_2023_06_tract/tl_2023_06_tract.shp,51594156,2026-03-29T19:40:47.362096071+00:00,49.2 MB
data/raw/census/tl_2023_06_tract/tl_2023_06_tract.shp.ea.iso.xml,23168,2026-03-29T19:40:47.362096071+00:00,22.6 KB
data/raw/census/tl_2023_06_tract/tl_2023_06_tract.shp.iso.xml,53580,2026-03-29T19:40:47.362096071+00:00,52.3 KB
data/raw/census/tl_2023_06_tract/tl_2023_06_tract.shx,73132,2026-03-29T19:40:47.362096071+00:00,71.4 KB
data/raw/gtfs/mts/extracted/agency.txt,274,2026-03-29T20:55:11.125345230+00:00,274 B
data/raw/gtfs/mts/extracted/calendar.txt,4194,2026-03-29T20:55:11.139381409+00:00,4.1 KB
data/raw/gtfs/mts/extracted/calendar_dates.txt,3417,2026-03-29T20:55:11.141396761+00:00,3.3 KB
data/raw/gtfs/mts/extracted/fare_attributes.txt,362,2026-03-29T20:55:11.397245884+00:00,362 B
data/raw/gtfs/mts/extracted/fare_capping.txt,1108,2026-03-29T20:55:11.123744488+00:00,1.1 KB
data/raw/gtfs/mts/extracted/fare_leg_rules.txt,350,2026-03-29T20:55:11.404637814+00:00,350 B
data/raw/gtfs/mts/extracted/fare_media.txt,186,2026-03-29T20:55:11.401229620+00:00,186 B
data/raw/gtfs/mts/extracted/fare_products.txt,7706,2026-03-29T20:55:11.402247190+00:00,7.5 KB
data/raw/gtfs/mts/extracted/fare_rules.txt,7844,2026-03-29T20:55:11.400143385+00:00,7.7 KB
data/raw/gtfs/mts/extracted/fare_transfer_rules.txt,386,2026-03-29T20:55:11.404637814+00:00,386 B
data/raw/gtfs/mts/extracted/feed_info.txt,222,2026-03-29T20:55:11.123744488+00:00,222 B
data/raw/gtfs/mts/extracted/networks.txt,88,2026-03-29T20:55:11.135145903+00:00,88 B
data/raw/gtfs/mts/extracted/rider_categories.txt,1011,2026-03-29T20:55:11.402247190+00:00,1011 B
data/raw/gtfs/mts/extracted/route_networks.txt,1172,2026-03-29T20:55:11.137154579+00:00,1.1 KB
data/raw/gtfs/mts/extracted/routes.txt,14083,2026-03-29T20:55:11.137154579+00:00,13.8 KB
data/raw/gtfs/mts/extracted/shapes.txt,5026036,2026-03-29T20:55:11.178860903+00:00,4.8 MB
data/raw/gtfs/mts/extracted/stop_times.txt,36060000,2026-03-29T20:55:11.397245884+00:00,34.4 MB
data/raw/gtfs/mts/extracted/stops.txt,426107,2026-03-29T20:55:11.133872986+00:00,416.1 KB
data/raw/gtfs/mts/extracted/transfers.txt,2448,2026-03-29T20:55:11.404637814+00:00,2.4 KB
data/raw/gtfs/mts/extracted/trips.txt,1905237,2026-03-29T20:55:11.185928583+00:00,1.8 MB
data/raw/gtfs/mts/google_transit.zip,4773917,2026-03-29T20:55:11.067766190+00:00,4.6 MB
data/raw/gtfs/nctd/extracted/agency.txt,169,2026-03-29T20:55:11.664899349+00:00,169 B
data/raw/gtfs/nctd/extracted/areas.txt,92,2026-03-29T20:55:11.664899349+00:00,92 B
data/raw/gtfs/nctd/extracted/calendar.txt,1967,2026-03-29T20:55:11.664899349+00:00,1.9 KB
data/raw/gtfs/nctd/extracted/calendar_dates.txt,664,2026-03-29T20:55:11.664899349+00:00,664 B
data/raw/gtfs/nctd/extracted/fare_attributes.txt,286,2026-03-29T20:55:11.669464111+00:00,286 B
data/raw/gtfs/nctd/extracted/fare_leg_rules.txt,2616,2026-03-29T20:55:11.669464111+00:00,2.6 KB
data/raw/gtfs/nctd/extracted/fare_media.txt,126,2026-03-29T20:55:11.669464111+00:00,126 B
data/raw/gtfs/nctd/extracted/fare_products.txt,8084,2026-03-29T20:55:11.672557354+00:00,7.9 KB
data/raw/gtfs/nctd/extracted/fare_rules.txt,3412,2026-03-29T20:55:11.672557354+00:00,3.3 KB
data/raw/gtfs/nctd/extracted/fare_transfer_rules.txt,246,2026-03-29T20:55:11.674160004+00:00,246 B
data/raw/gtfs/nctd/extracted/feed_info.txt,111,2026-03-29T20:55:11.675946951+00:00,111 B
data/raw/gtfs/nctd/extracted/rider_categories.txt,302,2026-03-29T20:55:11.675946951+00:00,302 B
data/raw/gtfs/nctd/extracted/routes.txt,4799,2026-03-29T20:55:11.675946951+00:00,4.7 KB
data/raw/gtfs/nctd/extracted/shapes.txt,1626660,2026-03-29T20:55:11.682043791+00:00,1.6 MB
data/raw/gtfs/nctd/extracted/stop_times.txt,12060987,2026-03-29T20:55:11.749806881+00:00,11.5 MB
data/raw/gtfs/nctd/extracted/stops.txt,179449,2026-03-29T20:55:11.749806881+00:00,175.2 KB
data/raw/gtfs/nctd/extracted/trips.txt,462422,2026-03-29T20:55:11.755754232+00:00,451.6 KB
data/raw/gtfs/nctd/google_transit.zip,1664872,2026-03-29T20:55:11.633317947+00:00,1.6 MB
