GEOID,intersects_study_bbox,n_osm_hospitals,n_osm_groceries,n_osm_schools
06073000100,True,0,0,0
06073000201,True,0,0,3
06073000202,True,0,3,1
06073000301,True,1,1,0
06073000302,True,0,2,1
06073000400,True,2,3,2
06073000500,True,0,2,0
06073000600,True,0,5,2
06073000700,True,0,0,0
06073000800,True,0,1,0
06073000901,True,0,1,0
06073000902,True,0,2,0
06073001000,True,1,5,0
06073001100,True,1,1,1
06073001201,True,0,1,0
06073001202,True,0,0,1
06073001301,True,0,3,1
06073001302,True,0,0,2
06073001400,True,0,5,5
06073001500,True,0,6,1
06073001600,True,0,2,1
06073001700,True,0,1,0
06073001801,True,0,2,1
06073001802,True,0,2,2
06073001900,True,0,0,0
06073002001,True,0,0,1
06073002002,True,0,0,0
06073002100,True,0,1,1
06073002201,True,0,1,1
06073002202,True,0,0,4
06073002301,True,0,1,1
06073002302,True,0,5,2
06073002401,True,0,2,1
06073002402,True,0,1,1
06073002501,True,0,0,1
06073002502,True,0,1,1
06073002601,True,0,1,3
06073002602,True,0,0,2
06073002702,True,1,0,7
06073002703,True,0,3,1
06073002705,True,0,0,1
06073002707,True,0,3,1
06073002708,True,0,3,1
06073002709,True,0,2,1
06073002710,True,0,1,0
06073002711,True,0,0,1
06073002712,True,0,0,2
06073002801,True,0,3,4
06073002803,True,0,2,1
06073002804,True,3,0,1
06073002902,True,1,4,1
06073002903,True,0,1,1
06073002904,True,1,3,5
06073002905,True,0,2,1
06073003001,True,0,0,2
06073003003,True,0,0,0
06073003004,True,0,0,1
06073003101,True,0,0,0
06073003103,True,0,1,0
06073003105,True,0,1,1
06073003107,True,0,1,1
06073003108,True,0,4,2
06073003109,True,0,0,1
06073003111,True,0,0,1
06073003112,True,0,4,1
06073003113,True,0,1,1
06073003114,True,0,0,2
06073003115,True,0,1,1
06073003201,True,0,0,4
06073003202,True,0,1,0
06073003204,True,0,0,1
06073003207,True,0,1,1
06073003208,True,0,0,2
06073003209,True,0,1,2
06073003211,True,0,0,1
06073003212,True,0,0,1
