GEOID,NAME,B01003_001E,B01003_001M,B08201_002E,B08201_002M,B19013_001E,B19013_001M,B17001_002E,B17001_002M,B03002_001E,B03002_003E,B03002_012E,B03002_004E,poverty_rate,no_vehicle_hh_rate,pct_nh_white,pct_hispanic,pct_black,rel_moe_pop,rel_moe_poverty_count,rel_moe_no_vehicle,disadvantage_z
06073008331,Census Tract 83.31; San Diego County; California,2766,430,14,18,217083.0,55110.0,77,57,2766,1777,204,0,0.027838033261026754,0.005061460592913955,0.6424439624005784,0.0737527114967462,0.0,0.1554591467823572,0.7402597402597403,1.2857142857142858,-1.1963808879607642
06073008336,Census Tract 83.36; San Diego County; California,2086,196,8,11,197841.0,26371.0,7,12,2086,1199,131,17,0.003355704697986577,0.003835091083413231,0.574784276126558,0.06279961649089166,0.008149568552253116,0.09395973154362416,1.7142857142857142,1.375,-1.1736753843498227
06073008337,Census Tract 83.37; San Diego County; California,4996,753,0,14,180496.0,10181.0,94,62,4996,2183,611,52,0.018815052041633307,0.0,0.4369495596477182,0.1222978382706165,0.010408326661329063,0.15072057646116893,0.6595744680851063,,-1.022799207836012
06073011601,Census Tract 116.01; San Diego County; California,5796,651,53,46,69542.0,11254.0,1146,462,5796,224,4829,202,0.19772256728778467,0.00914423740510697,0.03864734299516908,0.833160800552105,0.034851621808143544,0.11231884057971014,0.4031413612565445,0.8679245283018868,0.740991996317018
06073011602,Census Tract 116.02; San Diego County; California,3671,845,125,64,57303.0,9016.0,443,250,3671,522,2615,176,0.12067556524107872,0.03405066739308091,0.14219558703350585,0.7123399618632525,0.047943339689457916,0.2301825115772269,0.5643340857787811,0.512,0.82144158401477
06073011700,Census Tract 117; San Diego County; California,7376,909,407,140,56045.0,14419.0,1005,368,7376,644,4386,289,0.1362527114967462,0.055178958785249456,0.08731019522776573,0.5946312364425163,0.03918112798264642,0.12323752711496747,0.3661691542288557,0.343980343980344,1.1786312910930334
06073011801,Census Tract 118.01; San Diego County; California,3278,416,65,42,61146.0,27522.0,736,414,3278,174,2647,103,0.22452715070164733,0.01982916412446614,0.05308114704087859,0.8075045759609518,0.03142159853569249,0.12690665039658328,0.5625,0.6461538461538462,1.06499459160533
06073013307,Census Tract 133.07; San Diego County; California,4538,1104,0,14,80156.0,39180.0,972,836,4538,568,3295,77,0.21419127368884971,0.0,0.125165271044513,0.7260907888937858,0.016967827236668134,0.24327897752313796,0.8600823045267489,,0.6121646985981926
06073013308,Census Tract 133.08; San Diego County; California,3885,755,30,38,95725.0,24041.0,380,307,3885,137,3567,57,0.0978120978120978,0.007722007722007722,0.035263835263835266,0.9181467181467181,0.014671814671814672,0.19433719433719435,0.8078947368421052,1.2666666666666666,0.07868022805759177
06073013309,Census Tract 133.09; San Diego County; California,7211,923,9,15,140882.0,19104.0,326,141,7211,941,4372,616,0.04520870891693247,0.0012480931909582581,0.13049507696574678,0.6062959367632783,0.0854250450700319,0.12799889058383027,0.4325153374233129,1.6666666666666667,-0.5858356997721289
06073013312,Census Tract 133.12; San Diego County; California,2794,467,158,131,97188.0,24778.0,103,59,2794,353,2069,4,0.03686471009305655,0.05654974946313529,0.12634216177523264,0.7405153901216893,0.0014316392269148174,0.16714387974230493,0.5728155339805825,0.8291139240506329,0.44083844223280844
06073008343,Census Tract 83.43; San Diego County; California,4165,501,150,76,82325.0,15574.0,1095,366,4165,2061,570,41,0.26290516206482595,0.03601440576230492,0.49483793517406965,0.1368547418967587,0.009843937575030012,0.12028811524609843,0.33424657534246577,0.5066666666666667,1.286228281871524
