agency,route_id,direction_id,median_headway_min,n_gaps
mts,201,1,5.0,154
mts,12,1,7.0,115
mts,13,0,7.0,116
mts,13,1,7.0,128
mts,932,1,7.0,106
mts,12,0,8.0,115
mts,3,1,8.0,107
mts,7,1,8.0,144
mts,709,0,8.0,100
mts,934,0,8.0,112
mts,955,0,8.0,114
mts,227,0,8.5,112
mts,202,0,9.0,112
mts,215,1,9.0,133
mts,3,0,9.0,113
mts,44,0,9.0,94
mts,44,1,9.0,92
mts,510,0,9.0,147
mts,961,0,9.0,86
mts,10,1,10.0,113
mts,20,1,10.0,69
mts,227,1,10.0,116
mts,701,0,10.0,68
mts,932,0,10.0,98
mts,AIR,1,10.0,113
mts,10,0,11.0,96
mts,43,1,11.0,83
mts,933,1,11.0,97
mts,955,1,11.0,97
mts,962,1,11.0,72
mts,701,1,11.5,68
mts,712,1,11.5,86
mts,30,1,12.0,97
mts,705,1,12.0,53
mts,709,1,12.0,96
mts,8,0,12.0,83
mts,961,1,12.0,76
mts,5,1,13.0,88
mts,712,0,13.0,81
mts,8,1,13.0,86
mts,929,0,13.0,85
mts,962,0,13.0,75
mts,235,1,14.0,78
mts,41,0,14.0,81
mts,5,0,14.0,77
mts,929,1,14.0,88
mts,1,0,15.0,82
mts,1,1,15.0,85
mts,11,0,15.0,71
mts,11,1,15.0,77
mts,120,0,15.0,69
mts,2,1,15.0,70
mts,20,0,15.0,61
mts,237,1,15.0,26
mts,30,0,15.0,67
mts,35,0,15.0,62
mts,35,1,15.0,58
mts,43,0,15.0,71
mts,510,1,15.0,84
mts,520,0,15.0,69
mts,520,1,15.0,71
mts,530,0,15.0,76
mts,530,1,15.0,78
mts,535,0,15.0,72
mts,535,1,15.0,73
mts,60,0,15.0,6
mts,815,0,15.0,56
mts,815,1,15.0,58
mts,848,0,15.0,45
mts,854,0,15.0,36
mts,9,0,15.0,54
mts,9,1,15.0,64
mts,905,0,15.0,65
mts,905,1,15.0,59
mts,906,0,15.0,79
mts,907,1,15.0,77
mts,936,1,15.0,57
mts,992,1,15.0,68
mts,7,0,16.0,2
mts,704,1,16.0,51
mts,901,0,16.0,67
mts,936,0,16.0,59
mts,115,0,16.5,42
mts,27,0,16.5,58
mts,105,0,17.0,43
mts,237,0,17.0,27
mts,27,1,17.0,55
mts,6,0,17.0,65
mts,704,0,18.0,53
mts,901,1,18.0,62
mts,921,1,18.5,38
mts,225,0,19.0,58
mts,852,1,19.0,63
mts,110,1,20.0,3
mts,856,0,20.0,47
mts,928,0,20.0,45
mts,945,1,20.0,41
mts,COR,0,20.0,44
mts,945,0,20.5,38
mts,875,1,21.0,49
mts,963,0,21.0,42
mts,963,1,22.0,39
mts,910,0,22.5,4
mts,105,1,23.0,45
mts,115,1,23.0,44
mts,705,0,23.0,52
mts,928,1,23.5,44
mts,4,1,24.0,59
mts,852,0,24.0,58
mts,944,0,24.0,37
mts,944,1,24.5,38
mts,120,1,25.0,55
mts,856,1,25.0,47
mts,874,0,25.0,57
mts,894,1,25.0,1
mts,COR,1,25.0,44
mts,848,1,26.0,48
mts,28,0,28.0,48
mts,854,1,28.0,36
mts,864,1,28.0,39
mts,855,0,29.5,38
mts,18,0,30.0,20
mts,204,0,30.0,32
mts,28,1,30.0,36
mts,280,0,30.0,6
mts,280,1,30.0,6
mts,290,0,30.0,6
mts,290,1,30.0,6
mts,31,0,30.0,13
mts,31,1,30.0,13
mts,4,0,30.0,41
mts,41,1,30.0,31
mts,6,1,30.0,5
mts,60,1,30.0,5
mts,816,0,30.0,25
mts,816,1,30.0,26
mts,855,1,30.0,33
mts,864,0,30.0,31
mts,88,1,30.0,29
mts,916,0,30.0,30
mts,921,0,30.0,26
mts,923,0,30.0,26
mts,923,1,30.0,26
mts,964,0,30.0,21
mts,985,1,30.0,20
mts,707,0,32.0,21
mts,707,1,32.0,19
mts,964,1,32.0,21
mts,833,1,34.0,23
mts,833,0,37.0,23
mts,910,1,40.0,3
mts,832,0,42.5,24
mts,872,1,45.0,19
mts,965,1,45.0,20
mts,917,1,57.0,24
mts,894,0,58.5,2
mts,14,0,60.0,12
mts,14,1,60.0,12
mts,25,0,60.0,12
mts,25,1,60.0,12
mts,550,0,60.0,8
mts,834,0,60.0,12
mts,838,0,60.0,14
mts,84,0,60.0,11
mts,84,1,60.0,12
mts,851,0,60.0,13
mts,851,1,60.0,13
mts,904,0,60.0,8
mts,904,1,60.0,8
mts,909,0,60.0,14
mts,967,1,60.0,14
mts,909,1,60.5,14
mts,968,1,65.0,15
mts,968,0,66.0,14
mts,83,0,70.0,10
mts,83,1,70.0,10
nctd,302,0,20.0,49
nctd,302,1,20.0,50
nctd,303,0,20.0,53
nctd,303,1,20.0,47
nctd,332,0,20.0,43
nctd,332,1,20.0,41
nctd,350,0,20.0,58
nctd,350,1,20.0,57
nctd,351,1,20.0,47
nctd,352,0,20.0,46
nctd,309,0,29.0,29
nctd,301,0,29.5,30
nctd,301,1,30.0,30
nctd,304,1,30.0,23
nctd,305,0,30.0,36
nctd,305,1,30.0,37
nctd,309,1,30.0,30
nctd,347,0,30.0,27
nctd,347,1,30.0,27
nctd,354,0,30.0,30
nctd,354,1,30.0,30
nctd,356,0,30.0,32
nctd,399,0,30.0,33
nctd,399,1,30.0,33
nctd,304,0,33.0,23
nctd,444,0,40.0,3
nctd,444,1,40.0,3
nctd,471,1,40.0,7
nctd,472,0,40.0,7
nctd,473,1,40.0,7
nctd,478,1,40.0,7
nctd,479,0,40.0,7
