GEOID,NAME,intersects_study_bbox,area_km2,n_stops_in_bbox,n_stops_mts,n_stops_nctd,n_route_directions,n_route_directions_with_headway,min_route_headway_min,mean_route_headway_min,median_route_headway_min,dist_nearest_stop_m,poverty_rate,disadvantage_z,rel_moe_pop,B01003_001E
06073000100,1,True,1.5362531166529005,6,6,0,2,2,70.0,70.0,70.0,242.94868526303412,0.0167516387472687,-1.2178216588088977,0.1252731245447924,2746
06073000201,2.01,True,0.8642099767514034,7,7,0,3,3,10.0,50.0,70.0,250.04064721244177,0.0883838383838383,0.6819436773037743,0.146043771043771,2376
06073000202,2.02,True,1.3060014054326219,11,11,0,4,4,10.0,40.25,40.5,349.1553877816449,0.039313262005474,-0.1829616101648927,0.0992784274695197,4019
06073000301,3.01,True,0.4017902470245324,7,7,0,4,4,8.0,15.75,15.0,209.3150850118155,0.1552070767993566,1.0067532395021954,0.1716928025733816,2487
06073000302,3.02,True,0.4969699876684419,10,10,0,6,6,8.0,12.166666666666666,13.0,92.20536313922564,0.0947008547008547,0.3641074775635821,0.1097435897435897,2925
06073000400,4,True,1.1774533328576866,12,12,0,7,7,8.0,13.285714285714286,11.0,182.27066565137324,0.0747732287325324,1.0206126943008222,0.1316499141946555,4079
06073000500,5,True,1.1086525877500817,3,3,0,1,1,15.0,15.0,15.0,531.9068702374125,0.0498585572842998,0.3650241607303577,0.1241159830268741,2828
06073000600,6,True,0.9328412228990258,10,10,0,4,4,9.0,12.25,12.5,479.79102625769474,0.0469302475088396,0.4621890502314649,0.1125040180006428,3111
06073000700,7,True,0.7800425932492339,8,8,0,6,6,8.0,13.333333333333334,15.0,358.595193130559,0.0720658888126287,0.5413692609555584,0.1189659116906886,4371
06073000800,8,True,0.6338798936375271,4,4,0,2,2,11.0,13.5,13.5,402.96649138760887,0.072869735553379,0.2510726454946559,0.1198824681684622,5105
06073000901,9.01,True,0.350526639525674,6,6,0,5,4,8.0,12.5,12.5,364.95725365197563,0.1361680587193115,0.8345135870419281,0.1169324221716021,3951
06073000902,9.02,True,0.2711539294600735,7,7,0,3,2,15.0,15.0,15.0,160.10092439032383,0.1458098459225855,1.495564112036653,0.1153701615933859,2661
06073001000,10,True,0.8491187569443606,15,15,0,6,6,9.0,16.833333333333332,15.0,262.64739433397267,0.0832972739073994,0.4656011478427325,0.1053656425789701,4622
06073001100,11,True,0.9359538674981581,8,8,0,6,5,15.0,21.0,15.0,260.8289167526919,0.0377679482817284,-0.033978567454201,0.1357604627424294,2939
06073001201,12.01,True,0.3184874343069195,5,5,0,5,4,9.0,17.25,15.0,182.32133100459257,0.1026200873362445,1.194874937736952,0.2755458515283843,2290
06073001202,12.02,True,0.36732386878581047,2,2,0,2,2,15.0,22.5,22.5,298.67400922315755,0.1591368846931894,0.5630022857282193,0.1456507080242751,2966
06073001301,13.01,True,0.352167623660459,10,10,0,8,6,8.0,15.833333333333334,15.0,123.75420247256032,0.0722447475119793,0.1985270682986571,0.1525985993365278,2713
06073001302,13.02,True,0.43975953807405993,3,3,0,3,3,8.0,13.333333333333334,15.0,365.12723931740493,0.0798151001540832,0.3063716184635215,0.0878274268104776,3245
06073001400,14,True,0.7463258191578657,7,7,0,4,3,11.0,14.0,15.0,287.9472623144811,0.0972762645914396,0.5270302765618714,0.1086501047590541,3341
06073001500,15,True,0.7932700557625113,2,2,0,2,2,11.0,13.5,13.5,543.7749357843309,0.0414336553126588,-0.1709108001730435,0.0912557193695983,3934
06073001600,16,True,0.6881747510973887,8,8,0,4,3,8.0,11.0,10.0,310.50211433039345,0.2171767028627838,1.298098315611432,0.1755182625863771,5065
06073001700,17,True,0.634350269298553,4,4,0,2,2,9.0,12.0,12.0,329.6350248111637,0.0912092447379281,0.2794211549133719,0.1392901361947998,4846
06073001801,18.01,True,0.3139468273726647,3,3,0,2,2,15.0,15.0,15.0,89.1434406143435,0.0759002770083102,0.2176551820568857,0.1867036011080332,1805
06073001802,18.02,True,0.4362499187776945,10,10,0,2,2,15.0,15.0,15.0,58.86078313852917,0.1176108374384236,1.0016459679474792,0.1705665024630542,3248
06073001900,19,True,1.837906263374531,1,1,0,1,1,15.0,15.0,15.0,637.3133109038399,0.1049955130122644,0.2187203433494853,0.107986838169309,3343
06073002001,20.01,True,2.464896813827737,5,5,0,3,3,15.0,20.0,15.0,730.0736479828047,0.0695457094784071,-0.8059619033389961,0.1298373527762198,3566
06073002002,20.02,True,1.2797840031996783,2,2,0,2,2,7.0,11.0,11.0,470.34643144521436,0.0658796648895658,-0.4968949673923244,0.1298552932216298,2626
06073002100,21,True,0.8913181201146237,11,11,0,6,5,9.0,16.8,15.0,346.1833276509241,0.1342536669542709,0.5370924274009377,0.1266609145815358,5795
06073002201,22.01,True,0.35736827946457206,4,4,0,2,2,8.0,11.5,11.5,311.01893959936024,0.2950715421303657,2.224813828631451,0.2222575516693163,3145
06073002202,22.02,True,0.4868847814244302,16,16,0,11,9,7.0,17.22222222222222,14.0,295.68893907443373,0.237720207253886,2.097811781123848,0.1214507772020725,4825
06073002301,23.01,True,0.4233255430862018,5,5,0,2,2,9.0,12.0,12.0,163.0806851831165,0.0827586206896551,0.6990785390108668,0.1777429467084639,3190
06073002302,23.02,True,0.5288254210403166,9,9,0,5,5,7.0,17.0,10.0,312.70784942354993,0.1961917715062903,2.0629166979451314,0.2847670860251615,5882
06073002401,24.01,True,0.6544031854900265,6,6,0,2,2,11.0,13.5,13.5,296.0046470638581,0.1933240611961057,0.9562252303650206,0.1502086230876217,4314
06073002402,24.02,True,0.5019041065784713,11,11,0,6,6,7.0,18.0,14.5,207.52196988975024,0.1793577055140375,1.4255924028780942,0.1460311048273076,4951
06073002501,25.01,True,1.2572924120444502,5,5,0,2,2,7.0,26.0,26.0,360.85494996947165,0.2564575645756458,1.2513328244038435,0.074210742107421,4878
06073002502,25.02,True,1.8932749524635735,14,14,0,2,2,7.0,26.0,26.0,125.1736057899052,0.1472879399884593,0.5301130086012872,0.1253606462781304,6932
06073002601,26.01,True,0.835084462106977,7,7,0,3,3,7.0,11.333333333333334,11.0,410.1610160504147,0.2470804137470804,1.1555700696199602,0.1374708041374708,5994
06073002602,26.02,True,0.7673109901937312,4,4,0,1,1,7.0,7.0,7.0,339.02034937105964,0.2062298603651987,1.0520506826945313,0.1647690655209452,4655
06073002702,27.02,True,1.3595730926049634,15,15,0,8,7,8.0,14.285714285714286,15.0,461.6292235437252,0.1090124123043713,0.5944726197281253,0.0951610001798884,5559
06073002703,27.03,True,1.9614226432390558,24,24,0,11,11,8.0,20.363636363636363,16.0,169.51982679241175,0.1190341711380965,0.2026298005791746,0.1719853148828014,7082
06073002705,27.05,True,1.2273120662679602,7,7,0,2,2,11.0,34.0,34.0,358.22218643833656,0.1888141295206055,0.8330772461396633,0.1478132884777123,4756
06073002707,27.07,True,0.38355398495924686,4,4,0,3,2,8.0,11.5,11.5,372.0279949190492,0.342570281124498,2.0421601286478626,0.2070281124497991,4980
