GEOID,rank_det,rank_bayes,rank_delta,jobs_C000_45min,posterior_mean_jobs,disadvantage_z,exceedance_prob_45min,ci_width_log1p
06073006200,226.0,229.0,3.0,16655.0,16503.06332508578,-0.5236682336308077,0.0,0.3543351196684821
06073020210,304.0,301.0,-3.0,13018.0,13037.084942538115,0.5896597079413596,0.0,0.33302504879670103
06073017049,126.0,129.0,3.0,24375.0,24226.840205042598,0.1094565783484378,0.0,0.3431328786511969
06073020308,324.5,322.0,-2.5,12420.0,12412.697704547316,1.3428595693013794,0.0,0.34676226176888214
06073010501,570.0,572.0,2.0,3780.0,3791.198464293511,-0.1252479150110548,0.9699375,0.34931969521501394
06073008357,314.0,312.0,-2.0,12760.0,12746.22144314111,0.4072306796024695,0.0,0.35431645295576253
06073012600,303.0,305.0,2.0,13019.0,12960.856656372263,0.475317189961545,3.125e-05,0.35437287729647693
06073017058,511.0,509.0,-2.0,5264.0,5286.584528091661,-0.5139061588419717,0.02525,0.34343144476527776
06073011700,129.0,127.0,-2.0,24350.0,24256.50222710557,1.1786312910930334,0.0,0.3496332910814868
06073009104,411.0,413.0,2.0,8431.0,8416.675028234997,-0.4666120397313889,0.00021875,0.3466610909478405
06073010015,311.0,313.0,2.0,12800.0,12734.294902171652,-0.4354881846691845,0.0,0.3462667597526661
06073005602,9.0,11.0,2.0,85916.0,84518.13569762198,0.3171944362750259,0.0,0.35858820617474585
06073018517,164.0,166.0,2.0,20838.0,20649.619631896436,0.0377220139944597,0.00209375,0.35191519038503394
06073020028,87.0,85.0,-2.0,31237.0,31111.540837389686,1.0619939756989654,0.0,0.35141764798996533
06073009400,683.0,685.0,2.0,698.0,704.8059022685587,-0.247225361433311,1.0,0.3485064161940663
06073014400,278.0,276.0,-2.0,14305.0,14297.528382477605,1.2870415559639583,0.0,0.34657493232265324
06073017061,623.0,625.0,2.0,2289.0,2300.4482816742066,-0.3260487373764227,0.99978125,0.34381312041429446
06073019903,300.0,302.0,2.0,13075.0,13031.892331058822,-0.278144985919744,0.0,0.3344282580171285
06073017059,572.0,570.0,-2.0,3777.0,3795.5152028803627,0.173702447949139,0.96825,0.34714137223470054
06073007905,324.5,326.0,1.5,12420.0,12385.511165704533,0.3555184298434868,9.375e-05,0.3432346219059461
06073020811,684.5,683.0,-1.5,696.0,706.3689103482543,-0.5861955438654736,1.0,0.3610287492726032
06073008379,36.5,35.0,-1.5,54602.0,54173.318789203804,2.986305793867295,0.0,0.3523084202619664
06073017306,533.5,535.0,1.5,4575.0,4579.551569939178,-1.414054116647962,0.3550625,0.34389224502451654
06073010018,624.5,623.0,-1.5,2288.0,2304.5335532156173,-0.5908266039180824,0.99959375,0.34967343318680033
06073020211,168.5,170.0,1.5,20518.0,20407.530281072653,1.0811583902166892,0.0,0.34965013450289817
06073009604,326.5,325.0,-1.5,12404.0,12395.105023594391,0.0590164564688962,6.25e-05,0.3528644811169155
06073014702,181.5,183.0,1.5,19726.0,19617.983377526292,-0.2344955751996298,0.0,0.34493305269760377
06073011000,484.5,483.0,-1.5,5815.0,5840.713902498609,-0.2969312095542413,0.00475,0.345587762668881
06073021800,484.5,486.0,1.5,5815.0,5818.055190060127,-1.136262055845597,0.0056875,0.3368969782761848
06073000302,10.0,9.0,-1.0,85813.0,84923.23322438671,0.3641074775635821,0.0,0.3435565398725089
06073008306,586.0,587.0,1.0,3392.0,3398.8493901058036,-1.08869080123739,0.9930625,0.35845036817831755
06073011300,514.0,515.0,1.0,5231.0,5236.661103529693,-0.8783145859473563,0.03240625,0.3503560977832567
06073010103,570.0,571.0,1.0,3780.0,3792.424399010815,1.2548984739588442,0.97175,0.3341511606049199
06073013102,171.0,172.0,1.0,20286.0,20196.316277567934,0.4924112008364218,0.0,0.34301009472725497
06073012401,205.0,206.0,1.0,17760.0,17682.65054512956,0.183100792657309,0.0,0.340040767084151
06073001100,228.0,227.0,-1.0,16586.0,16529.922062445217,-0.033978567454201,0.0,0.3406268201155118
06073001202,158.0,157.0,-1.0,21601.0,21503.737269648933,0.5630022857282193,0.0,0.33942971870774663
06073013317,541.0,542.0,1.0,4467.0,4473.797159311438,-0.4757439915294281,0.49634375,0.3448236324240277
06073001400,114.0,115.0,1.0,25852.0,25710.5015476285,0.5270302765618714,0.0,0.3451005218592087
06073008507,431.0,430.0,-1.0,7892.0,7902.6053678498865,0.2749494701560339,0.0005,0.3438627151375755
06073011802,227.0,226.0,-1.0,16627.0,16578.110379189642,0.7701920656149083,0.0,0.34609207389766894
06073013414,365.0,364.0,-1.0,10665.0,10654.396661345545,-0.3703409510184549,0.0,0.3425215373630035
06073013326,392.0,393.0,1.0,9050.0,9025.104965603661,-1.0578123052297332,0.00025,0.35143020619776877
06073009705,582.0,583.0,1.0,3486.0,3505.1869579189997,-0.5951862997711812,0.98859375,0.350312128775788
06073002002,364.0,365.0,1.0,10692.0,10653.056849968723,-0.4968949673923244,3.125e-05,0.34228100653277416
06073005302,11.0,10.0,-1.0,85485.0,84601.1645577142,0.8531465466292896,0.0,0.3521807108887174
06073002201,179.0,178.0,-1.0,19777.0,19725.373855071586,2.224813828631451,0.0,0.3461161957339076
06073002202,212.0,211.0,-1.0,17593.0,17534.198932983534,2.097811781123848,0.0,0.3355310171982815
06073002301,302.0,303.0,1.0,13030.0,12991.736599905193,0.6990785390108668,0.0,0.34026379504326343
06073008513,412.0,411.0,-1.0,8426.0,8423.25753847573,-0.4722026212566872,3.125e-05,0.345213579060097
06073002401,206.0,205.0,-1.0,17758.0,17691.881788334784,0.9562252303650206,0.0,0.338693209533087
06073010202,570.0,569.0,-1.0,3780.0,3799.7006107247585,0.0370609090444649,0.968625,0.340702575125027
06073008702,99.0,100.0,1.0,27949.0,27761.043961403346,0.389135131147795,0.0,0.3529830287000113
06073002601,259.0,258.0,-1.0,15113.0,15072.642047740135,1.1555700696199602,0.0,0.34967198470860517
06073013315,420.0,419.0,-1.0,8149.0,8167.730817473076,-0.4184011017697265,3.125e-05,0.3478751991590521
06073013205,306.0,307.0,1.0,12942.0,12910.324313115882,0.494976978672007,0.0,0.3426210414545281
06073013401,305.0,304.0,-1.0,13009.0,12963.842472153547,-0.4050124068662324,0.0,0.3489547545130769
06073002708,122.0,121.0,-1.0,25500.0,25406.468330131298,1.9692672232359216,0.0,0.34430245545673976
06073010001,266.0,267.0,1.0,14764.0,14703.94414475298,-0.0309601657222379,0.0,0.34105938512879774
06073008337,493.0,492.0,-1.0,5605.0,5622.995237497798,-1.022799207836012,0.00953125,0.34322939086400517
06073002711,393.0,392.0,-1.0,9044.0,9038.35410521536,0.0245623816477954,9.375e-05,0.35761189360983003
06073009103,385.0,386.0,1.0,9374.0,9349.170047407162,-0.4955585884944617,0.00021875,0.3600865002051101
06073006300,86.0,87.0,1.0,31243.0,31070.282697421968,-0.5236682336308077,0.0,0.34762879502467037
06073006500,71.0,72.0,1.0,34000.0,33722.85058686295,2.721564051701073,0.0,0.3435737355110291
06073002903,217.0,218.0,1.0,17136.0,17055.78477980449,0.3484184809388757,0.0,0.34977792390268014
06073009107,72.0,71.0,-1.0,33952.0,33798.235687145345,1.1785704906576246,0.0,0.33979159276353776
06073008360,175.0,176.0,1.0,20138.0,20034.82738181245,0.1496075585840449,0.0,0.3486623829785014
06073010502,549.0,548.0,-1.0,4273.0,4300.988242218418,0.849586431717221,0.7214375,0.34853536823104214
06073012302,172.0,171.0,-1.0,20274.0,20220.95048826869,1.712331055532892,0.0,0.3441597263859659
06073003101,360.0,361.0,1.0,10744.0,10727.098732414373,0.0543414967071251,3.125e-05,0.3511586203419075
06073009201,100.0,99.0,-1.0,27924.0,27801.526931974928,0.2523258454382785,0.0,0.34258974615001314
06073007302,258.0,259.0,1.0,15126.0,15059.659793762014,-0.9531894461851914,0.0,0.34696919312661834
06073008364,135.0,136.0,1.0,23564.0,23438.240615458562,1.3270345258862368,0.0,0.35298434423196845
06073008365,492.0,493.0,1.0,5606.0,5616.935678751581,-1.17349059785521,0.00840625,0.33127333118238234
06073003111,386.0,385.0,-1.0,9362.0,9377.723119417617,1.5591460716880754,0.0,0.3411785855497822
06073007402,251.0,252.0,1.0,15435.0,15375.280780765803,-0.1337260203483475,0.0,0.34184259447010845
06073003113,419.0,420.0,1.0,8170.0,8164.246795468309,-0.1983518103279833,0.00065625,0.33771354051256885
06073010010,413.0,412.0,-1.0,8411.0,8422.31862599453,0.789888497901342,3.125e-05,0.33622532155560414
06073007502,409.0,408.0,-1.0,8526.0,8526.857884342618,0.4725288309113053,0.00046875,0.3542572973866296
06073007601,523.0,524.0,1.0,4918.0,4909.920466753302,0.5516323285655766,0.109375,0.34981181390344496
06073007602,596.0,595.0,-1.0,3080.0,3098.2485864469418,0.879695363291029,0.9969375,0.34617138757487886
06073007800,301.0,300.0,-1.0,13068.0,13055.293471049372,0.1503857772545698,0.0,0.3510293808069882
06073003211,555.0,554.0,-1.0,4149.0,4166.336608975889,-0.0515193796795565,0.8350625,0.35273829341226914
06073003212,470.0,469.0,-1.0,6395.0,6415.0096365734025,-0.001500597059709,0.00159375,0.34024390529707027
06073013000,121.0,122.0,1.0,25517.0,25369.396476580583,0.6867730795167798,0.0,0.34203141817699567
06073003214,583.0,582.0,-1.0,3483.0,3505.815908088306,-0.0304032589944582,0.98828125,0.3513836638866259
06073003301,273.0,274.0,1.0,14451.0,14379.128719304106,0.9562297820643292,0.00025,0.3436384800282113
06073010012,435.0,434.0,-1.0,7794.0,7804.99430796308,0.5488821703308058,0.00015625,0.3470151173758804
06073008370,157.0,158.0,1.0,21640.0,21503.358548411034,-0.6241536205698922,0.0,0.3481626223819898
06073003401,277.0,278.0,1.0,14322.0,14264.736700402453,0.5528386952359389,0.0,0.3415642745616978
06073013701,469.0,470.0,1.0,6399.0,6396.244878189084,0.2254371234249152,0.002625,0.34786350865178584
06073013702,368.0,369.0,1.0,10450.0,10433.767362670433,-0.0094160918945048,0.00025,0.3467626853457588
06073013801,373.0,372.0,-1.0,10301.0,10304.016932366027,0.8484483295513486,0.00015625,0.34212361406214953
06073013908,542.0,541.0,-1.0,4457.0,4474.8378415553825,0.2512046223520925,0.5001875,0.3454974670578679
06073014101,430.0,431.0,1.0,7897.0,7900.137241774034,-0.0920898069681972,0.0003125,0.33455461421000976
06073015002,183.0,182.0,-1.0,19695.0,19631.502540758596,1.3737802554344858,0.0,0.33576331178425356
06073015704,233.0,232.0,-1.0,16374.0,16322.601099435886,1.2602012941591825,0.0,0.34256868556778386
06073015705,232.0,233.0,1.0,16380.0,16320.338506506352,0.8167291168562051,0.0,0.3430340176979154
