GEOID,n_routes,min_headway_min,median_headway_min,total_trips_am,current_frequency_tier,exceedance_prob,det_jobs,disadvantage_z,selected_by_bayes,selected_by_det
06073009400,1,13.333333333333334,13.333333333333334,9,high,1.0,698.0,-0.247225361433311,True,False
06073009505,2,30.0,75.0,5,low,1.0,659.0,-0.3452159715527154,True,False
06073009805,1,5.0,5.0,24,high,1.0,405.0,-0.1986965729247281,True,True
06073009901,1,30.0,30.0,4,low,1.0,362.0,-0.5236682336308077,True,True
06073010019,3,5.0,5.454545454545454,67,high,1.0,549.0,-0.5169517148073975,True,False
06073010109,4,4.615384615384615,4.8,96,high,1.0,893.0,-0.1997638526127572,True,False
06073010201,3,2.608695652173913,4.8,94,high,1.0,623.0,0.9481295092068492,True,False
06073010601,4,3.4285714285714284,5.454545454545454,100,high,1.0,310.0,-1.0614093515217984,True,True
06073013307,2,4.285714285714286,4.642857142857142,52,high,1.0,925.0,0.6121646985981926,True,False
06073013423,2,2.608695652173913,8.804347826086957,54,high,1.0,178.0,-0.5916791264801161,True,True
06073015405,3,10.0,10.0,32,high,1.0,276.0,-0.4603794864378299,True,True
06073015501,1,6.0,6.0,20,high,1.0,1411.0,-0.3644676746291842,True,False
06073016609,1,20.0,20.0,6,medium,1.0,1117.0,-0.1673953403666839,True,False
06073016618,1,120.0,120.0,1,low,0.99771875,405.0,-0.1848497943957825,False,True
06073016704,2,4.444444444444445,8.88888888888889,36,high,1.0,412.0,-0.1666813967325826,True,False
06073016807,3,4.137931034482759,4.8,74,high,1.0,843.0,-0.1242305862556885,True,False
06073016813,1,6.0,6.0,20,high,1.0,260.0,-0.0140039184687859,False,True
06073017021,1,40.0,40.0,3,low,1.0,253.0,-0.946724581289545,False,True
06073017053,1,40.0,40.0,3,low,1.0,315.0,-1.263306414081108,False,True
06073021306,2,15.0,27.5,11,medium,1.0,396.0,-0.488325236885117,False,True
