method,rank_in_method,GEOID,exceedance_prob,det_jobs,posterior_mean_jobs,disadvantage_z,pop_total,selected_by_bayes,selected_by_det,in_overlap
bayesian,1,06073008328,1.0,927.0,937.923254000048,-1.3335094072813949,7766,True,False,False
bayesian,2,06073008372,1.0,842.0,851.1312720272549,-1.0867482978304377,3965,True,False,False
bayesian,3,06073009400,1.0,698.0,701.7106495684673,-0.247225361433311,4529,True,False,False
bayesian,4,06073009505,1.0,659.0,666.0650332442149,-0.3452159715527154,6159,True,False,False
bayesian,5,06073009507,1.0,733.0,744.5624403166589,-0.3212876753377001,3934,True,False,False
bayesian,6,06073009805,1.0,405.0,413.038130783083,-0.1986965729247281,4559,True,True,True
bayesian,7,06073009901,1.0,362.0,367.30366911867077,-0.5236682336308077,1462,True,True,True
bayesian,8,06073010019,1.0,549.0,559.1088358680743,-0.5169517148073975,3568,True,False,False
bayesian,9,06073010109,1.0,893.0,901.5505069621202,-0.1997638526127572,4824,True,False,False
bayesian,10,06073010201,1.0,623.0,632.8334216143928,0.9481295092068492,3562,True,False,False
bayesian,11,06073010601,1.0,310.0,314.2515206800138,-1.0614093515217984,1981,True,True,True
bayesian,12,06073013307,1.0,925.0,943.5055595363165,0.6121646985981926,4538,True,False,False
bayesian,13,06073013422,1.0,949.0,959.6049320691394,-0.6342239823182487,4213,True,False,False
bayesian,14,06073013423,1.0,178.0,181.9353810360548,-0.5916791264801161,3315,True,True,True
bayesian,15,06073015405,1.0,276.0,282.8838559566492,-0.4603794864378299,5653,True,True,True
bayesian,16,06073015406,1.0,208.0,212.98509319631688,-0.6067528265136214,2628,True,True,True
bayesian,17,06073015501,1.0,1411.0,1415.8295159361476,-0.3644676746291842,5591,True,False,False
bayesian,18,06073016609,1.0,1117.0,1131.8346030056332,-0.1673953403666839,5935,True,False,False
bayesian,19,06073016704,1.0,412.0,421.7776144790439,-0.1666813967325826,7549,True,False,False
bayesian,20,06073016807,1.0,843.0,858.1425929156009,-0.1242305862556885,8221,True,False,False
deterministic,1,06073020312,1.0,76.0,79.7102058572132,-0.1452031933616605,4180,False,True,False
deterministic,2,06073019107,1.0,101.0,102.87149875362711,-0.4508803612042829,3018,False,True,False
deterministic,3,06073013320,0.99996875,136.0,141.3605626174262,-0.4090360707420991,6850,False,True,False
deterministic,4,06073013423,1.0,178.0,181.9353810360548,-0.5916791264801161,3315,True,True,True
deterministic,5,06073015406,1.0,208.0,212.98509319631688,-0.6067528265136214,2628,True,True,True
deterministic,6,06073017010,1.0,223.0,227.08803031613954,-1.1050237344476292,3057,False,True,False
deterministic,7,06073017021,1.0,253.0,256.4412830747226,-0.946724581289545,3228,False,True,False
deterministic,8,06073016813,1.0,260.0,265.5424830115767,-0.0140039184687859,3287,False,True,False
deterministic,9,06073015405,1.0,276.0,282.8838559566492,-0.4603794864378299,5653,True,True,True
deterministic,10,06073010601,1.0,310.0,314.2515206800138,-1.0614093515217984,1981,True,True,True
deterministic,11,06073017053,1.0,315.0,321.2766429262989,-1.263306414081108,3687,False,True,False
deterministic,12,06073018805,1.0,344.0,349.44926650575024,-0.4177452334190393,3977,False,True,False
deterministic,13,06073017020,1.0,356.0,360.3190760113821,-0.7797609387928404,4097,False,True,False
deterministic,14,06073009901,1.0,362.0,367.30366911867077,-0.5236682336308077,1462,True,True,True
deterministic,15,06073020711,1.0,380.0,382.70675369504943,-0.4336397282953312,3626,False,True,False
deterministic,16,06073020111,1.0,383.0,388.5837074135014,-0.8151239333214834,3858,False,True,False
deterministic,17,06073021306,1.0,396.0,400.6538009067063,-0.488325236885117,5069,False,True,False
deterministic,18,06073019209,1.0,401.0,406.37628588923656,-0.0429623816619142,2899,False,True,False
deterministic,19,06073009805,1.0,405.0,413.038130783083,-0.1986965729247281,4559,True,True,True
deterministic,20,06073016618,0.99771875,405.0,422.4976711200846,-0.1848497943957825,3592,False,True,False
