key,value
run_id,2026-04-03
repo_root,C:\Users\sardo\OneDrive\Desktop\Classes\Projects\BayesTransitEquity
od_tract_parquet,data\processed\accessibility\tract_tract_od_traveltime__2026-04-03.parquet
jobs_parquet,data\processed\accessibility\tract_jobs_accessibility__2026-04-03.parquet
poi_bundle_parquet,data\processed\accessibility\tract_poi_counts__2026-04-03.parquet
bundle_parquet,data\processed\accessibility\tract_accessibility_bundle__2026-04-03.parquet
figure,artifacts\figures\pipeline__03_accessibility_choropleth__2026-04-03.png
tracts,726
spearman_jobs_disadvantage_z,0.46720144426780713
thresholds_min,"[30, 45, 60]"
