parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0016,0.0275,-0.0526,0.0542,0.0038,0.0025,54.2355,76.2826,1.0495
rho,0.427,0.1971,0.0753,0.7695,0.0052,0.0024,1442.2025,1684.3535,1.0037
sigma,1.0573,0.2412,0.7439,1.4923,0.0073,0.0091,1291.7355,1577.2574,1.0028
beta[poverty_rate],0.016,0.0365,-0.0497,0.0933,0.0046,0.0019,69.4119,120.989,1.0609
beta[no_vehicle_hh_rate],0.1304,0.0324,0.0697,0.1924,0.0029,0.002,129.5225,241.1105,1.0306
beta[pct_hispanic],-0.0664,0.0602,-0.1817,0.0537,0.0087,0.0077,48.0841,25.7172,1.0556
beta[pct_black],-0.0157,0.0341,-0.0819,0.0492,0.0055,0.0019,39.165,132.7556,1.0827
beta[pct_nh_white],0.041,0.0576,-0.0571,0.1638,0.0095,0.0039,36.2203,110.9536,1.086
beta[log_median_income],-0.0984,0.0466,-0.1847,-0.0091,0.0054,0.0026,75.44,135.963,1.0563
beta[log_pop_density],0.5754,0.0328,0.5159,0.6395,0.0046,0.0019,48.8725,98.7941,1.0874
