GEOID,Jobs (LODES)_desert,Hospitals_desert,Groceries_desert,Schools_desert,n_deserts,multi_desert,disadvantage_z,posterior_mean_jobs
06073000100,False,False,False,False,0,False,-1.2178216588088977,48968.62038188872
06073000201,False,False,False,False,0,False,0.6819436773037743,32603.042229183648
06073000202,False,False,False,False,0,False,-0.1829616101648927,58406.71483906938
06073000301,False,False,False,False,0,False,1.0067532395021954,46732.727973105444
06073000302,False,False,False,False,0,False,0.3641074775635821,84832.76594688452
06073000400,False,False,False,False,0,False,1.0206126943008222,51790.31778539999
06073000500,False,False,False,False,0,False,0.3650241607303577,33096.91568623111
06073000600,False,False,False,False,0,False,0.4621890502314649,42649.52254868504
06073000700,False,False,False,False,0,False,0.5413692609555584,46849.69711419423
06073000800,False,False,False,False,0,False,0.2510726454946559,43172.85148639507
06073000901,False,False,False,False,0,False,0.8345135870419281,40818.62069191856
06073000902,False,False,False,False,0,False,1.495564112036653,42896.38741566099
06073001000,False,False,False,False,0,False,0.4656011478427325,36786.33566418617
06073001100,False,False,False,False,0,False,-0.033978567454201,16525.20504175503
06073001201,False,False,False,False,0,False,1.194874937736952,19574.320647940163
06073001202,False,False,False,False,0,False,0.5630022857282193,21586.2153989568
06073001301,False,False,False,False,0,False,0.1985270682986571,20174.47657238691
06073001302,False,False,False,False,0,False,0.3063716184635215,22900.476129031136
06073001400,False,False,False,False,0,False,0.5270302765618714,25775.547549700015
06073001500,False,False,False,False,0,False,-0.1709108001730435,22796.446999034248
06073001600,False,False,False,False,0,False,1.298098315611432,21865.50685675237
06073001700,False,False,False,False,0,False,0.2794211549133719,20039.018636267177
06073001801,False,False,False,False,0,False,0.2176551820568857,14546.8012051537
06073001802,False,False,False,False,0,False,1.0016459679474792,15342.225659572456
06073001900,False,False,False,False,0,False,0.2187203433494853,11181.858293630003
06073002001,False,False,False,False,0,False,-0.8059619033389961,11867.123202480594
06073002002,False,False,False,False,0,False,-0.4968949673923244,10663.369032744358
06073002100,False,False,False,False,0,False,0.5370924274009377,14799.788653057667
06073002201,False,False,False,False,0,False,2.224813828631451,19879.78757428459
06073002202,False,False,False,False,0,False,2.097811781123848,17746.154394303456
06073002301,False,False,False,False,0,False,0.6990785390108668,13088.235476218235
06073002302,False,False,False,False,0,False,2.0629166979451314,15856.600979100462
06073002401,False,False,False,False,0,False,0.9562252303650206,17770.146741547942
06073002402,False,False,False,False,0,False,1.4255924028780942,15606.295008890269
06073002501,False,True,False,False,1,False,1.2513328244038435,16439.031273857476
06073002502,False,True,True,False,2,False,0.5301130086012872,9140.650483578838
06073002601,False,False,False,False,0,False,1.1555700696199602,15150.648170070526
06073002602,False,False,False,False,0,False,1.0520506826945313,12600.373097261401
06073002702,False,False,False,False,0,False,0.5944726197281253,21293.654679351464
06073002703,False,False,False,False,0,False,0.2026298005791746,11699.08824777756
06073002705,False,False,False,False,0,False,0.8330772461396633,10993.550276217453
06073002707,False,False,False,False,0,False,2.0421601286478626,17795.793859691978
06073002708,False,False,False,False,0,False,1.9692672232359216,25608.209486851047
06073002709,False,False,False,False,0,False,2.1035774959967823,15289.560071481603
06073002710,False,False,False,False,0,False,1.0640414530123945,13614.997208738845
06073002711,False,False,False,False,0,False,0.0245623816477954,9044.737570992604
06073002712,False,False,False,False,0,False,1.5301455398757804,9523.152781464982
06073002801,False,False,False,False,0,False,0.6011096034002114,12692.499952002649
06073002803,False,False,False,False,0,False,1.099307834929611,15854.298029968564
06073002804,False,False,False,False,0,False,0.5818017707714785,16234.335114392794
06073002902,False,False,False,False,0,False,0.7042304081272445,19709.878787505026
