service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
mts:72985-0000001-0,0,0,0,0,0,0,1,20260125,20260531,2026-01-25 → 05-31 (19 Su)
mts:72986-0000010-0,0,0,0,0,0,1,0,20260131,20260606,2026-01-31 → 06-06 (19 Sa)
mts:72987-1111100-0,1,1,1,1,1,0,0,20260126,20260605,"2026-01-26 → 06-05 (19 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
mts:7298753-1111100-53,1,1,1,1,1,0,0,20260126,20260605,"2026-01-26 → 06-05 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
mts:7298755-1111100-55,0,0,0,0,1,0,0,20260130,20260605,2026-01-30 → 06-05 (19 Fr)
mts:82013-1111111-0,1,1,1,1,1,1,1,20260125,20260225,"2026-01-25 → 02-25 (5 Mo, 5 Tu, 5 We, 4 Th, 4 Fr, 4 Sa, 5 Su)"
mts:86441-1111100-0,1,1,1,1,1,0,0,20260126,20260605,"2026-01-26 → 06-05 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
mts:8644157-1111100-57,1,1,1,1,1,0,0,20260127,20260604,"2026-01-27 → 06-04 (15 Mo, 17 Tu, 17 We, 17 Th, 16 Fr)"
mts:8644157-1111100-58,0,0,0,0,0,0,0,20260126,20260605,"2026-01-26 → 06-05 (2 Mo, 2 Tu, 2 We, 2 Th, 3 Fr)"
mts:86442-1111100-0,1,1,1,1,1,0,0,20260126,20260605,"2026-01-26 → 06-05 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
mts:8644227-1111100-27,1,1,1,1,1,0,0,20260202,20260601,"2026-02-02 → 06-01 (15 Mo, 16 Tu, 16 We, 16 Th, 15 Fr)"
mts:8644265-1111100-65,1,1,1,1,1,0,0,20260126,20260528,"2026-01-26 → 05-28 (14 Mo, 17 Tu, 17 We, 17 Th, 15 Fr)"
mts:86443-0000010-0,0,0,0,0,0,1,0,20260131,20260606,2026-01-31 → 06-06 (19 Sa)
mts:86444-1111100-0,1,1,1,1,1,0,0,20260126,20260605,"2026-01-26 → 06-05 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
mts:86445-0000010-0,0,0,0,0,0,1,0,20260131,20260606,2026-01-31 → 06-06 (19 Sa)
mts:86446-0000001-0,0,0,0,0,0,0,1,20260125,20260531,2026-01-25 → 05-31 (19 Su)
mts:86447-1111100-0,1,1,1,1,1,0,0,20260126,20260605,"2026-01-26 → 06-05 (17 Mo, 19 Tu, 19 We, 19 Th, 19 Fr)"
mts:8644711-1111100-11,0,0,0,1,0,0,0,20260129,20260604,2026-01-29 → 06-04 (19 Th)
mts:8644761-1111100-61,1,1,1,1,1,0,0,20260126,20260602,"2026-01-26 → 06-02 (14 Mo, 17 Tu, 16 We, 16 Th, 15 Fr)"
mts:864477-1111100-7,1,0,0,0,1,0,0,20260126,20260605,"2026-01-26 → 06-05 (17 Mo, 2 Tu, 19 Fr)"
mts:864479-1111100-9,0,0,0,0,1,0,0,20260130,20260605,2026-01-30 → 06-05 (19 Fr)
