service_id,date,exception_type
mts:7298753-1111100-53,20260216,2
mts:7298753-1111100-53,20260525,2
mts:86441-1111100-0,20260216,2
mts:86441-1111100-0,20260525,2
mts:8644157-1111100-57,20260216,2
mts:8644157-1111100-57,20260217,2
mts:8644157-1111100-57,20260218,2
mts:8644157-1111100-57,20260219,2
mts:8644157-1111100-57,20260220,2
mts:8644157-1111100-57,20260406,2
mts:8644157-1111100-57,20260407,2
mts:8644157-1111100-57,20260408,2
mts:8644157-1111100-57,20260409,2
mts:8644157-1111100-57,20260410,2
mts:8644157-1111100-57,20260525,2
mts:8644157-1111100-58,20260126,1
mts:8644157-1111100-58,20260217,1
mts:8644157-1111100-58,20260218,1
mts:8644157-1111100-58,20260219,1
mts:8644157-1111100-58,20260220,1
mts:8644157-1111100-58,20260406,1
mts:8644157-1111100-58,20260407,1
mts:8644157-1111100-58,20260408,1
mts:8644157-1111100-58,20260409,1
mts:8644157-1111100-58,20260410,1
mts:8644157-1111100-58,20260605,1
mts:86442-1111100-0,20260216,2
mts:86442-1111100-0,20260525,2
mts:8644227-1111100-27,20260213,2
mts:8644227-1111100-27,20260216,2
mts:8644227-1111100-27,20260330,2
mts:8644227-1111100-27,20260331,2
mts:8644227-1111100-27,20260401,2
mts:8644227-1111100-27,20260402,2
mts:8644227-1111100-27,20260403,2
mts:8644227-1111100-27,20260525,2
mts:8644265-1111100-65,20260213,2
mts:8644265-1111100-65,20260216,2
mts:8644265-1111100-65,20260309,2
mts:8644265-1111100-65,20260330,2
mts:8644265-1111100-65,20260331,2
mts:8644265-1111100-65,20260401,2
mts:8644265-1111100-65,20260402,2
mts:8644265-1111100-65,20260403,2
mts:8644265-1111100-65,20260525,2
mts:86444-1111100-0,20260216,2
mts:86444-1111100-0,20260525,2
mts:86447-1111100-0,20260216,2
mts:86447-1111100-0,20260525,2
mts:8644761-1111100-61,20260209,2
mts:8644761-1111100-61,20260216,2
mts:8644761-1111100-61,20260313,2
mts:8644761-1111100-61,20260323,2
mts:8644761-1111100-61,20260324,2
mts:8644761-1111100-61,20260325,2
mts:8644761-1111100-61,20260326,2
mts:8644761-1111100-61,20260327,2
mts:8644761-1111100-61,20260330,2
mts:8644761-1111100-61,20260331,2
mts:8644761-1111100-61,20260401,2
mts:8644761-1111100-61,20260402,2
mts:8644761-1111100-61,20260403,2
mts:8644761-1111100-61,20260525,2
mts:864477-1111100-7,20260217,1
mts:864477-1111100-7,20260526,1
mts:864477-1111100-7,20260216,2
mts:864477-1111100-7,20260525,2
mts:86487-1111100-0,20260216,2
mts:86487-1111100-0,20260525,2
mts:8648719-1111100-19,20260213,2
mts:8648719-1111100-19,20260216,2
mts:8648719-1111100-19,20260330,2
mts:8648719-1111100-19,20260331,2
mts:8648719-1111100-19,20260401,2
mts:8648719-1111100-19,20260402,2
mts:8648719-1111100-19,20260403,2
mts:8648719-1111100-19,20260525,2
mts:86552-1111100-0,20260216,2
mts:86552-1111100-0,20260525,2
mts:8655259-1111100-59,20260213,2
mts:8655259-1111100-59,20260216,2
mts:8655259-1111100-59,20260330,2
mts:8655259-1111100-59,20260331,2
mts:8655259-1111100-59,20260401,2
mts:8655259-1111100-59,20260402,2
mts:8655259-1111100-59,20260403,2
mts:8655259-1111100-59,20260525,2
mts:86553-0000010-0,20260216,1
mts:86554-0000001-0,20260525,1
mts:86635-1111100-0,20260216,2
mts:86635-1111100-0,20260525,2
mts:8663515-1111100-15,20260213,2
mts:8663515-1111100-15,20260216,2
mts:8663515-1111100-15,20260330,2
mts:8663515-1111100-15,20260331,2
mts:8663515-1111100-15,20260401,2
mts:8663515-1111100-15,20260402,2
mts:8663515-1111100-15,20260403,2
mts:8663515-1111100-15,20260525,2
mts:8663521-1111100-21,20260216,2
mts:8663521-1111100-21,20260316,2
mts:8663521-1111100-21,20260317,2
mts:8663521-1111100-21,20260318,2
mts:8663521-1111100-21,20260319,2
mts:8663521-1111100-21,20260320,2
mts:8663521-1111100-21,20260323,2
mts:8663521-1111100-21,20260324,2
mts:8663521-1111100-21,20260325,2
mts:8663521-1111100-21,20260326,2
mts:8663521-1111100-21,20260327,2
mts:8663521-1111100-21,20260525,2
nctd:NC2410-COASTER-Weekday-01,20250217,2
nctd:NC2410-COASTER-Weekday-01-0000100,20250217,2
nctd:NC2410-FLEX-Weekday-02,20250217,2
nctd:NC2410-RMKBLK-Weekday-06,20250217,2
nctd:NC2410-RMKBLK-Weekday-06-SCHon,20250217,2
nctd:NC2410-RMKBLK-Weekday-06-SCHon-0010000,20250217,2
nctd:NC2410-RMKBLK-Weekday-06-SCHon-1101100,20250217,2
nctd:NC2410-RMKBLK-Weekday-06-SCHon-0100000,20250217,2
nctd:NC2410-RMKBLK-Weekday-06-SCHon-0001000,20250217,2
nctd:NC2410-RMKBLK-Weekday-06-SCHon-1110100,20250217,2
nctd:NC2410-RMKBLK-Weekday-06-SCHon-1000000,20250217,2
nctd:NC2410-RMKBLK-Weekday-06-SCHon-0111100,20250217,2
nctd:NC2410-399-Weekday-01,20250217,2
nctd:NC2410-399-Weekday-01-0000100,20250217,2
