stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,intersection_code,reference_place,stop_name_short,stop_place
mts:12049,12049,10th Av & A St,32.71857729,-117.15569071,,,0,,2,F-S/B,,10th&A,10thb
mts:11656,11656,10th Av & Broadway,32.71597740,-117.15566399,,,0,,0,N-S/B,,10th&Brdwy,10tbro
mts:11654,11654,10th Av & C St,32.71692554,-117.15567699,,,0,,1,N-S/B,,10th&C,10thc
mts:12048,12048,10th Av & F St,32.71348748,-117.15563191,,,0,,1,F-S/B,,10th&F,
mts:12050,12050,10th Av & Island Av,32.71023346,-117.15560173,,,0,,1,F-S/B,,10th&Island,
mts:11657,11657,10th Av & Market St,32.71176685,-117.15564024,,,0,,2,N-S/B,,10th&Mrkt,
mts:99005,99005,10th Av & Park Bl (Petco Park),32.70750534,-117.15506981,,,0,,1,N-E/B,,10th&Park (Petco Park),
mts:98548,98548,11099 Callan Rd,32.90480501,-117.24065516,,,0,,1,M-Street-W/B,,11099 Callan,
mts:99367,99367,11th Av & B St,32.71769488,-117.15458595,,,0,,1,N-N/B,,11th&B,11thb
mts:12782,12782,11th Av & Broadway,32.71635101,-117.15456566,,,0,11tbro,1,F-N/B,,11th&Brdwy,11tbro
mts:99343,99343,11th Av & C St,32.71652951,-117.15458700,,,0,11tbro,1,N-N/B,,11th&C,11tbro
mts:12781,12781,11th Av & F St,32.71399810,-117.15459028,,,0,,1,F-N/B,,11th&F,
mts:99010,99010,11th Av & K St,32.70833408,-117.15449964,,,0,,1,N-N/B,,11th&K,
mts:12441,12441,11th Av & Market St,32.71139567,-117.15453431,,,0,,1,N-N/B,,11th&Mrkt,
mts:75102,75102,12th & Imperial Station,32.70587009,-117.15321790,,,0,12tS,0,,,12th & Imprl,12tS
mts:75103,75103,12th & Imperial Station,32.70578492,-117.15332593,,,0,12tS,0,,,12th & Imprl,12tS
mts:75100,75100,12th & Imperial Station (Bayside),32.70523403,-117.15389991,,,0,imtS,0,,,12th & Imprl  (Bayside),imtS
mts:70009,70009,12th & Imperial Transit Center,32.70609480,-117.15289674,,,0,imp12,0,M-TC-Bus,,12th & Imperial TC,imp12
mts:88899,88899,12th & Imperial Transit Center,32.70555096,-117.15228294,,,0,imp12,0,N-S/B,,12th & Imperial TC,imp12
mts:89044,89044,12th & Imperial Transit Center,32.70586270,-117.15317654,,,0,imp12,0,,,12th & Imperial TC,imp12
mts:91101,91101,12th & Imperial Transit Center,32.70605117,-117.15322463,,,0,imp12,1,M-TC-Bus,,12th & Imperial TC,imp12
mts:91102,91102,12th & Imperial Transit Center,32.70560245,-117.15294696,,,0,imp12,1,M-TC-Bus,,12th & Imperial TC,imp12
mts:60401,60401,13th St & Fern Av,32.57503491,-117.10558266,,,0,,1,F-N/B,,13th&Fern,
mts:60342,60342,13th St & Grove Av,32.57276194,-117.10558010,,,0,,1,N-N/B,,13th&Grove,
mts:60229,60229,13th St & Holly Av,32.57164428,-117.10583544,,,0,,1,N-S/B,,13th&Holly,
mts:60341,60341,13th St & Holly Av,32.57134906,-117.10560212,,,0,,1,N-N/B,,13th&Holly,
mts:60230,60230,13th St & Imperial Beach Bl,32.57588817,-117.10580192,,,0,,1,F-S/B,,13th&Imperial Bch,
mts:60186,60186,13th St & Iris Av,32.56943066,-117.10559651,,,0,,1,N-N/B,,13th&Iris,13iris
mts:88984,88984,14th St & F St,32.71373903,-117.15191062,,,0,,0,F-N/B,,14th&F,
mts:99288,99288,18th St & C Av,32.66808777,-117.10082487,,,0,,1,F-W/B,,18th&C,
mts:99281,99281,18th St & C St,32.66787097,-117.10077728,,,0,,1,N-E/B,,18th&C,
mts:50140,50140,18th St & Harding Av,32.66590130,-117.10777044,,,0,,1,N-E/B,,18th&Harding,
mts:99282,99282,18th St & Harding Av,32.66620281,-117.10749393,,,0,,2,N-W/B,,18th&Harding,
mts:99286,99286,18th St & Highland Av,32.66964963,-117.09512729,,,0,,1,N-W/B,,18th&Highland,high18
mts:99315,99315,18th St & Highland Av,32.66937711,-117.09558936,,,0,,1,N-E/B,,18th&Highland,high18
mts:99285,99285,18th St & L Av,32.67077924,-117.09111191,,,0,,1,N-W/B,,18th&L,
mts:99316,99316,18th St & L Av,32.67076362,-117.09062141,,,0,,1,F-E/B,,18th&L,
mts:50008,50008,18th St & N Av,32.67125056,-117.08890020,,,0,,1,F-E/B,,18th&N,
mts:50065,50065,18th St & N Av,32.67136504,-117.08904102,,,0,,1,N-W/B,,18th&N,
mts:59003,59003,18th St & National City Bl,32.66717520,-117.10322064,,,0,,1,F-E/B,,18th&Natl City,nat18t
mts:99308,99308,18th St & National City Bl,32.66712191,-117.10416896,,,0,,1,F-W/B,,18th&Natl City,nat18t
mts:50011,50011,18th St & Newell St,32.67279173,-117.08333525,,,0,,1,N-E/B,,18th&Newell,
mts:50082,50082,18th St & Newell St,32.67268730,-117.08414667,,,0,,1,M-Street-W/B,,18th&Newell,
mts:50040,50040,18th St & Palm Av,32.67183694,-117.08673830,,,0,,1,F-E/B,,18th&Palm,
mts:50068,50068,18th St & Palm Av,32.67196519,-117.08687600,,,0,,1,N-W/B,,18th&Palm,
mts:50012,50012,18th St & Prospect St,32.67364475,-117.08033738,,,0,,1,F-E/B,,18th&Prospect,
mts:50083,50083,18th St & Prospect St,32.67360803,-117.08089272,,,0,,1,F-W/B,,18th&Prospect,
mts:30361,30361,1st Av & Alpine Av,32.63913491,-117.07004651,,,0,,1,N-S/B,,1st&Alpine,
mts:12411,12411,1st Av & Ash St,32.71964764,-117.16372935,,,0,,1,N-N/B,,1st&Ash,1stash
mts:12751,12751,1st Av & Broadway,32.71553186,-117.16374976,,,0,,0,N-N/B,,1st&Brdwy,1stbrd
mts:99118,99118,1st Av & Broadway,32.71592600,-117.16374929,,,0,,1,F-N/B,,1st&Brdwy,1stbro
mts:11637,11637,1st Av & Brookes Av,32.74341279,-117.16390099,,,0,,1,N-S/B,,1st&Brookes,
mts:12759,12759,1st Av & Brookes Av,32.74348270,-117.16373911,,,0,,1,F-N/B,,1st&Brookes,
mts:60546,60546,1st Av & C St,32.71686629,-117.16371027,,,0,,1,F-N/B,,1st&C,1stc
mts:12753,12753,1st Av & Elm St,32.72431993,-117.16375503,,,0,,1,F-N/B,,1st&Elm,
mts:30360,30360,1st Av & F St,32.64326070,-117.07165066,,,0,,1,F-S/B,,1st&F,
mts:30415,30415,1st Av & F St,32.64339054,-117.07155116,,,0,,0,N-N/B,,1st&F,
mts:12750,12750,1st Av & G St,32.71271345,-117.16368673,,,0,,1,F-N/B,,1st&G,1stG
mts:30416,30416,1st Av & G St,32.63930857,-117.06997016,,,0,,1,N-N/B,,1st&G,
mts:12415,12415,1st Av & Grape St,32.72595816,-117.16373950,,,0,,1,N-N/B,,1st&Grape,
mts:12756,12756,1st Av & Ivy St,32.72844805,-117.16377507,,,0,,1,F-N/B,,1st&Ivy,
mts:11636,11636,1st Av & Juniper St,32.72943597,-117.16398367,,,0,,1,N-S/B,,1st&Juniper,
mts:12014,12014,1st Av & Laurel St,32.73113997,-117.16399484,,,0,,1,F-S/B,,1st&Laurel,
mts:12757,12757,1st Av & Laurel St,32.73158666,-117.16380111,,,0,,1,F-N/B,,1st&Laurel,
mts:12016,12016,1st Av & Nutmeg St,32.73322041,-117.16401967,,,0,,1,F-S/B,,1st&Nutmeg,1stnut
mts:12417,12417,1st Av & Nutmeg St,32.73332364,-117.16381262,,,0,,1,N-N/B,,1st&Nutmeg,1stnut
mts:12416,12416,1st Av & Quince St,32.73649246,-117.16384223,,,0,,1,N-N/B,,1st&Quince,
mts:12015,12015,1st Av & Redwood St,32.73759311,-117.16404551,,,0,,1,F-S/B,,1st&Redwood,
mts:12018,12018,1st Av & Robinson Av,32.74677674,-117.16393263,,,0,,1,F-S/B,,1st&Robinson,
mts:12418,12418,1st Av & Robinson Av,32.74715709,-117.16379022,,,0,,1,F-N/B,,1st&Robinson,
mts:12412,12412,1st Av & Spruce St,32.73856748,-117.16385725,,,0,,1,N-N/B,,1st&Spruce,
mts:12013,12013,1st Av & Thorn St,32.73955812,-117.16406915,,,0,,1,F-S/B,,1st&Thorn,
mts:12414,12414,1st Av & Upas St,32.74066723,-117.16387252,,,0,,1,N-N/B,,1st&Upas,
mts:12017,12017,1st Av & Walnut Av,32.74119891,-117.16407967,,,0,,1,F-S/B,,1st&Walnut,
mts:12758,12758,1st Av & Walnut Av,32.74194644,-117.16371667,,,0,,1,F-N/B,,1st&Walnut,
mts:60058,60058,1st St & B Av,32.69762037,-117.16973563,,,0,,1,F-E/B,,1st&B,1stfer
mts:60165,60165,1st St & B Av,32.69795871,-117.17006747,,,0,,1,F-W/B,,1st&B,1stfer
mts:50029,50029,24th St & B Av,32.66274886,-117.09862560,,,0,,1,M-Street-E/B,,24th&B,
mts:50078,50078,24th St & D Av,32.66315798,-117.09788545,,,0,,1,F-W/B,,24th&D,
mts:50027,50027,24th St & National City Bl,32.66209762,-117.10099453,,,0,,1,F-E/B,,24th&Natl City,
mts:50053,50053,24th St & National City Bl,32.66220853,-117.10125229,,,0,,1,N-W/B,,24th&Natl City,
mts:75014,75014,24th Street Station,32.66196491,-117.10800607,,,0,24tS,0,M-TC-Train-N/B,,24th St,24tS
mts:75015,75015,24th Street Station,32.66170409,-117.10800516,,,0,24tS,0,M-TC-Train-S/B,,24th St,24tS
mts:91136,91136,24th Street Transit Center,32.66195902,-117.10790431,,,0,24tro,1,M-TC-Bus,,24thTC,24tro
mts:91138,91138,24th Street Transit Center,32.66162193,-117.10776456,,,0,24tro,0,,,24thTC,24tro
mts:91139,91139,24th Street Transit Center,32.66157522,-117.10736771,,,0,24tro,0,,,24thTC,24tro
